"","subj","order","cond","item","questionRT","questionAcc","region","Xstart","Xend","Ystart","Yend","fixationtype","value","words","wordsLen","logValue","type","reg.name","lure.type","lure.match","cond.code"
"78181",8,81,2,3,3471,1,"1",0,25,0,0,"ff",308,"The skilled businesswoman",25,5.73009978297357,"refl","lure","np","mismatch","np_mismatch"
"78188",8,81,2,3,3471,1,"1",0,25,0,0,"tt",1333,"The skilled businesswoman",25,7.19518732017871,"refl","lure","np","mismatch","np_mismatch"
"78189",8,81,2,3,3471,1,"1",0,25,0,0,"rr",669,"The skilled businesswoman",25,6.50578406012823,"refl","lure","np","mismatch","np_mismatch"
"78191",8,81,2,3,3471,1,"2",25,44,0,0,"ff",274," did not admit that",19,5.61312810638807,"refl","matrix.pred","np","mismatch","np_mismatch"
"78198",8,81,2,3,3471,1,"2",25,44,0,0,"tt",3690," did not admit that",19,8.21338173703457,"refl","matrix.pred","np","mismatch","np_mismatch"
"78199",8,81,2,3,3471,1,"2",25,44,0,0,"rr",1886," did not admit that",19,7.5422134631934,"refl","matrix.pred","np","mismatch","np_mismatch"
"78201",8,81,2,3,3471,1,"3",44,74,0,0,"ff",321," the inexperienced secretaries",30,5.77144112313002,"refl","target","np","mismatch","np_mismatch"
"78208",8,81,2,3,3471,1,"3",44,74,0,0,"tt",3320," the inexperienced secretaries",30,8.10772006191053,"refl","target","np","mismatch","np_mismatch"
"78209",8,81,2,3,3471,1,"3",44,74,0,0,"rr",2846," the inexperienced secretaries",30,7.9536697786498,"refl","target","np","mismatch","np_mismatch"
"78211",8,81,2,3,3471,1,"4",74,80,0,0,"ff",NA," confu",6,NA,"refl","precrit","np","mismatch","np_mismatch"
"78218",8,81,2,3,3471,1,"4",74,80,0,0,"tt",309," confu",6,5.73334127689775,"refl","precrit","np","mismatch","np_mismatch"
"78219",8,81,2,3,3471,1,"4",74,80,0,0,"rr",309," confu",6,5.73334127689775,"refl","precrit","np","mismatch","np_mismatch"
"78221",8,81,2,3,3471,1,"5",80,91,0,0,"ff",202,"sed himself",11,5.30826769740121,"refl","crit","np","mismatch","np_mismatch"
"78228",8,81,2,3,3471,1,"5",80,91,0,0,"tt",1019,"sed himself",11,6.92657703322272,"refl","crit","np","mismatch","np_mismatch"
"78229",8,81,2,3,3471,1,"5",80,91,0,0,"rr",817,"sed himself",11,6.70563909486,"refl","crit","np","mismatch","np_mismatch"
"78231",8,81,2,3,3471,1,"6",91,109,0,0,"ff",141," during the weekly",18,4.94875989037817,"refl","spillover","np","mismatch","np_mismatch"
"78238",8,81,2,3,3471,1,"6",91,109,0,0,"tt",1428," during the weekly",18,7.26403014289953,"refl","spillover","np","mismatch","np_mismatch"
"78239",8,81,2,3,3471,1,"6",91,109,0,0,"rr",1287," during the weekly",18,7.16006920759613,"refl","spillover","np","mismatch","np_mismatch"
"78301",8,81,2,3,3471,1,"7",109,116,0,0,"ff",347," office",7,5.84932477994686,"refl","prefinal","np","mismatch","np_mismatch"
